d,caseno,tot,ctot
323,5-6,2,2
327,31-32,2,4
329,47,1,5
329,48,1,6
329,49,1,7
329,50,1,8
330,5,1,9
330,6,1,10
330,26,1,11
330,27,1,12
330,31,1,13
330,32,1,14
330,43,1,15
330,44,1,16
330,45,1,17
330,46,1,18
330,57,1,19
330,58,1,20
330,59,1,21
330,60,1,22
330,61,1,23
330,62,1,24
330,63,1,25
330,64,1,26
330,65,1,27
330,66,1,28
401,147,1,29
401,148,1,30
402,283-288,6,36
409,750-775,26,62
410,891-892,2,64
412,1017-1020,4,68
415,1212-1217,6,74
