d,caseno,tot,ctot
402,255,1,1
404,435-444,10,11
405,496,1,12
415,1231-1237,7,19
422,1625,1,20
422,1626,1,21
424,1752,1,22
424,1753,1,23
426,1872,1,24
429,2160,1,25
