d,caseno,tot,ctot
328,40,1,1
329,39,1,2
405,567-570,4,6
406,609-611,3,9
407,633-635,3,12
414,1201-1204,4,16
415,1229,1,17
416,1267,1,18
417,1286-1302,17,35
418,1342,1,36
419,1452-1461,10,46
421,1589-1591,3,49
422,1620,1,50
422,1621,1,51
422,1622,1,52
422,1623,1,53
422,1624,1,54
423,1675,1,55
