d,caseno,tot,ctot
326,25,1,1
328,41,1,2
329,40,1,3
404,465-466,2,5
405,552-553,2,7
409,830-834,5,12
413,1164-1167,4,16
415,1241,1,17
416,1260-1262,3,20
417,1321-1323,3,23
