d,caseno,tot,ctot
403,388-392,5,5
405,561-566,6,11
409,786,1,12
411,936-947,12,24
413,1123-1127,5,29
414,1192-1193,2,31
415,1218-1224,7,38
417,1319-1320,2,40
419,1445-1447,3,43
420,1507,1,44
