d,caseno,tot,ctot
325,19-22,4,4
325,23,1,5
327,37,1,6
330,19,1,7
330,20,1,8
330,21,1,9
330,22,1,10
403,349-350,2,12
404,432,1,13
405,544-546,3,16
408,704,1,17
409,795,1,18
412,1030-1033,4,22
414,1196,1,23
415,1225-1227,3,26
416,1246-1247,2,28
423,1669,1,29
423,1670,1,30
423,1671,1,31
423,1672,1,32
423,1673,1,33
424,1750,1,34
426,1871,1,35
