d,caseno,tot,ctot
404,419-421,3,3
405,526-532,7,10
406,599-600,2,12
406,601,1,13
410,882,1,14
411,934,1,15
412,1012-1015,4,19
414,1179,1,20
419,1431-1436,6,26
430,2307,1,27
