d,caseno,tot,ctot
409,797,1,1
412,1034,1,2
414,1198-1200,3,5
415,1228,1,6
417,1281-1285,5,11
418,1338-1341,4,15
419,1448-1451,4,19
420,1503-1506,4,23
421,1584-1588,5,28
423,1674,1,29
424,1751,1,30
