d,caseno,tot,ctot
323,8,1,1
330,9,1,2
331,73-74,2,4
331,102,1,5
401,127,1,6
401,128,1,7
403,401-406,6,13
404,445,1,14
405,551,1,15
408,722-725,4,19
409,810-825,16,35
415,1240,1,36
416,1253,1,37
418,1343-1344,2,39
419,1467-1468,2,41
423,1678,1,42
