d,caseno,tot,ctot
331,102,1,1
401,125,1,2
401,126,1,3
402,296-297,2,5
403,407-410,4,9
405,549-550,2,11
407,622-624,3,14
407,625-627,3,17
409,805-809,5,22
410,907-908,2,24
413,1144-1145,2,26
420,1512,1,27
