d,caseno,tot,ctot
331,103-120,18,18
403,346-348,3,21
404,428,1,22
404,429-430,2,24
405,537,1,25
408,699-703,5,30
409,787-794,8,38
412,1024-1027,4,42
416,1248-1252,5,47
421,1583,1,48
423,1664,1,49
423,1665,1,50
423,1666,1,51
423,1667,1,52
426,1866,1,53
426,1867,1,54
426,1868,1,55
426,1869,1,56
428,2056,1,57
428,2057,1,58
