d,caseno,tot,ctot
324,11,1,1
404,446-447,2,3
407,636-648,13,16
408,726-727,2,18
409,826-829,4,22
412,1036-1070,35,57
413,1146-1163,18,75
416,1245,1,76
418,1345-1372,28,104
423,1679,1,105
426,1873,1,106
426,1874,1,107
