d,caseno,tot,ctot
326,27,1,1
404,448-464,17,18
406,586-598,13,31
408,728-733,6,37
411,967-969,3,40
412,1071-1074,4,44
417,1314-1316,3,47
420,1514-1517,4,51
422,1628,1,52
