"Manipur","Others ","122.05","81.61%"
"Uttar Pradesh                ","Others "," 22,459.17","97.08%"
"Tripura","Others ","193.95","73.88%"
"Nagaland","Others ","246.26","95.95%"
"Mizoram","Others ","266.90","89.71%"
"Sikkim","Others ","327.77","79.42%"
"Arunachal Pradesh                   ","Others ","353.01","90.02%"
"Delhi","Others ","420.56","81.68%"
"Puducherry","Others ","1,045.86","91.94%"
"Uttarakhand","Others ","1,125.34","92.24%"
"West Bengal","Others ","1,515.07","81.37%"
"Bihar","Others ","1,587.14","72.61%"
"Himachal Pradesh    ","Others ","1,631.36","88.78%"
"Assam","Others ","2,372.70","86.56%"
"Goa","Others ","2,412.76","99.22%"
"Punjab","Others ","2,423.53","91.46%"
"Haryana","Others ","3,649.11","76.78%"
"Jammu and Kashmir                             ","Others ","3,762.31","96.15%"
"Karnataka","Others ","3,993.01","74.57%"
"Andhra Pradesh             ","Others ","4,777.71","97.11%"
"Chhattisgarh                             ","Others ","5,100.84","97.82%"
"Jharkhand","Others ","5,730.10","97.9%"
"Tamil Nadu","Others ","5,824.81","65.32%"
"Odisha","Others ","7,597.46","87.21%"
"Madhya Pradesh              ","Others ","8,009.68","93.48%"
"Kerala","Others ","8,230.23","97.68%"
"Rajasthan","Others ","8,848.07","80.97%"
"Gujarat","Others ","9,254.39","90.78%"
"Maharashtra","Others "," 10,286.26","76.63%"
"Telangana","Others "," 11,467.58","79.56%"
"Meghalaya","Others ","189.19","82.68%"
"Arunachal Pradesh                   ","Dividends and profits "," .00","0%"
"Manipur","Dividends and profits "," .00","0%"
"Meghalaya","Dividends and profits "," .07","0%"
"Jharkhand","Dividends and profits "," .47","0%"
"Goa","Dividends and profits ","1.43",".04%"
"Punjab","Dividends and profits ","1.46",".04%"
"Puducherry","Dividends and profits ","4.18",".35%"
"Nagaland","Dividends and profits ","4.94","1.95%"
"Uttarakhand","Dividends and profits ","5.10",".41%"
"Chhattisgarh                             ","Dividends and profits ","5.73",".12%"
"Andhra Pradesh             ","Dividends and profits ","9.38",".18%"
"West Bengal","Dividends and profits "," 11.78",".64%"
"Delhi","Dividends and profits "," 12.32","2.33%"
"Sikkim","Dividends and profits "," 12.70","3.15%"
"Tripura","Dividends and profits "," 13.41","4.95%"
"Bihar","Dividends and profits "," 14.84",".69%"
"Haryana","Dividends and profits "," 15.89",".34%"
"Uttar Pradesh                ","Dividends and profits "," 42.66",".19%"
"Jammu and Kashmir                             ","Dividends and profits "," 54.13","1.38%"
"Maharashtra","Dividends and profits "," 57.27",".42%"
"Telangana","Dividends and profits "," 69.24",".48%"
"Karnataka","Dividends and profits "," 69.40","1.29%"
"Assam","Dividends and profits "," 70.06","2.55%"
"Kerala","Dividends and profits "," 90.23","1.07%"
"Gujarat","Dividends and profits "," 96.06",".94%"
"Rajasthan","Dividends and profits "," 97.41",".89%"
"Himachal Pradesh    ","Dividends and profits ","111.94","6.1%"
"Madhya Pradesh              ","Dividends and profits ","129.64","1.52%"
"Tamil Nadu","Dividends and profits ","140.59","1.58%"
"Odisha","Dividends and profits ","553.36","6.35%"
"Nagaland","Interest Receipts ","5.19","1.95%"
"Maharashtra","Interest Receipts ","3,079.48","22.94%"
"Manipur","Interest Receipts "," 27.43","18.06%"
"Mizoram","Interest Receipts "," 30.73","10.42%"
"Arunachal Pradesh                   ","Interest Receipts "," 39.11","9.95%"
"Meghalaya","Interest Receipts "," 39.33","17.06%"
"Tripura","Interest Receipts "," 55.24","20.94%"
"Sikkim","Interest Receipts "," 72.52","17.68%"
"Delhi","Interest Receipts "," 82.53","16.1%"
"Puducherry","Interest Receipts "," 87.70","7.73%"
"Uttarakhand","Interest Receipts "," 89.22","7.3%"
"Himachal Pradesh    ","Interest Receipts "," 93.84","5.12%"
"Jammu and Kashmir                             ","Interest Receipts "," 96.35","2.45%"
"Kerala","Interest Receipts ","105.03","1.25%"
"Chhattisgarh                             ","Interest Receipts ","108.23","2.07%"
"Jharkhand","Interest Receipts ","122.44","2.08%"
"Andhra Pradesh             ","Interest Receipts ","132.91","2.7%"
"Punjab","Interest Receipts ","225.28","8.49%"
"Assam","Interest Receipts ","298.80","10.91%"
"West Bengal","Interest Receipts ","334.94","17.99%"
"Madhya Pradesh              ","Interest Receipts ","429.48","5.01%"
"Odisha","Interest Receipts ","560.42","6.43%"
"Bihar","Interest Receipts ","583.66","26.72%"
"Uttar Pradesh                ","Interest Receipts ","632.82","2.74%"
"Gujarat","Interest Receipts ","843.06","8.27%"
"Haryana","Interest Receipts ","1,087.49","22.87%"
"Karnataka","Interest Receipts ","1,292.63","24.15%"
"Rajasthan","Interest Receipts ","1,982.39","18.14%"
"Telangana","Interest Receipts ","2,877.54","19.97%"
"Tamil Nadu","Interest Receipts ","2,952.91","33.11%"
"Goa","Interest Receipts "," 17.74",".74%"
