42,01,Secretariat Charged,2,,,2
42,01,Secretariat Voted,"11,67,33",,"15,00","11,82,33"
42,02,Directorate of Rural Development and Panchayat Raj Charged,1,,,1
42,02,Directorate of Rural Development and Panchayat Raj Voted,"1,95,70,84,04","19,06,22,75",,"2,14,77,06,79"
42,03,State Election Commission Charged,2,,,2
42,03,State Election Commission Voted,"96,74,22",,,"96,74,22"
42,,Total Charged,5,,,5
42,,Total Voted,"1,96,79,25,59","19,06,22,75","15,00","2,15,85,63,34"
