head,desc,2018,2019,2019.1,2020,dpcode
#,Schemes shared between State and Centre Total,"1,11,60","2,62,00","81,18","3,00,00",
793,Total 793,"1,11,60","2,62,00","81,18","3,00,00",
794,Special Central Assistance for Tribal Sub-Plan,,,,,
#,Schemes shared between State and Centre,,,,,
UA,Grants to Tamil Nadu Agricultural University - Scheme under National Agricultural Development Programme,,,,,2415 01 794 UA 30000
309,Grants-in-Aid,"6,45","19,00","4,60","1,00,00",2415 01 794 UA 30900
03,Grants for Specific Schemes,"6,45","19,00","4,60","1,00,00",2415 01 794 UA 30903
UA,Total UA,"6,45","19,00","4,60","1,00,00",
#,Schemes shared between State and Centre Total,"6,45","19,00","4,60","1,00,00",
794,Total 794,"6,45","19,00","4,60","1,00,00",
902,Deduct - Amount met from State Innovation Fund,,,,,
#,State's Expenditure,,,,,
JB,Deduct - Amount met from State Innovation Fund,,,,,2415 01 902 JB 30000
330,Inter-Account Transfers,"- 6,44,10","- 82,04","- 8,71,00","- 54,00",2415 01 902 JB 33000
01,Inter-Account Transfers,"- 6,44,10","- 82,04","- 8,71,00","- 54,00",2415 01 902 JB 33001
JB,Total JB,"- 6,44,10","- 82,04","- 8,71,00","- 54,00",
#,State's Expenditure TotalTotal,"- 6,44,10","- 82,04","- 8,71,00","- 54,00",
902,Total 902,"- 6,44,10","- 82,04","- 8,71,00","- 54,00",
01,Total 01,"4,11,16,83","5,80,77,37","6,37,87,31","5,81,31,96",
2415,Total 2415,"4,11,16,83","5,80,77,37","6,37,87,31","5,81,31,96",
