2014,ADMINISTRATION OF JUSTICE,"11,48,85,28","12,10,27,50","12,54,85,27","13,40,87,79"
2059,PUBLIC WORKS,"45,40,40","21,88,05","37,28,90","27,85,02"
2230,"LABOUR, EMPLOYMENT AND SKILL DEVELOPMENT","22,40,51","25,06,17","24,01,05","26,03,75"
2235,SOCIAL SECURITY AND WELFARE,"8,00,00","8,00,01","8,00,00","8,00,00"
3604,COMPENSATION AND ASSIGNMENTS TO LOCAL, BODIES AND PANCHAYAT RAJ, INSTITUTIONS,"19,24","42,00","40,00","40,00"
