2215,WATER SUPPLY AND SANITATION,"2,12,73,00","3,34,01,38","3,43,98,52","3,39,28,56"
2217,URBAN DEVELOPMENT,"5,90,68,79","14,89,60,77","14,33,34,78","12,63,05,38"
2235,SOCIAL SECURITY AND WELFARE,,"10,00",,1,1
2251,SECRETARIAT - SOCIAL SERVICES,"10,02,32","10,60,57","11,30,38","12,35,16"
2515,OTHER RURAL DEVELOPMENT PROGRAMMES,"11,29,05","11,04,08","11,65,41","12,73,73"
3435,ECOLOGY AND ENVIRONMENT,"5,29,00",1,,
3475,OTHER GENERAL ECONOMIC SERVICES,"1,48,60,27","1,52,23,98","1,82,90,38","2,02,28,67"
3604,COMPENSATION AND ASSIGNMENTS TO LOCAL BODIES AND PANCHAYAT RAJ INSTITUTIONS,"68,28,50,32","87,00,92,05","88,25,18,56","80,38,64,47"
4215,CAPITAL OUTLAY ON WATER SUPPLY AND SANITATION,"8,92,26,59","18,87,52,05","15,81,90,78","21,73,05,04"
4217,CAPITAL OUTLAY ON URBAN DEVELOPMENT,"40,19,53,30","53,95,38,05","42,32,40,02","57,42,59,04"
4515,CAPITAL OUTLAY ON OTHER RURAL DEVELOPMENT PROGRAMMES,"1,42,48,00","2,00,00,01","2,00,00,01","2,00,70,01"
6215,LOANS FOR WATER SUPPLY AND SANITATION,"7,98,75,25","3,29,71","3,29,71","2,07,88"
6217,LOANS FOR URBAN DEVELOPMENT,"4,74,73,00","5,15,01,37","3,20,00,01","5,52,59,01"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"70,50","50,00","1,09,50","25,00"
7615,MISCELLANEOUS LOANS,,"50,00","50,00","50,00"
