3,1,Administration of Justice Charged,"2,72,72,27",,,"2,72,72,27"
3,1,Administration of Justice Voted,"10,91,46,25",,,"10,91,46,25"
3,2,Tamilnadu State Legal Services Voted,"38,98,04",,,"38,98,04"
3,,Total Charged,"2,72,72,27",,"2,72,72,27"
3,,Total Voted,"11,30,44,29",,,"11,30,44,29"
