2011,PARLIAMENT/ STATE/ UNION TERRITORY LEGISLATURES,"60,72,86","60,62,51","60,15,06,"63,00,36"
2059,PUBLIC WORKS,"2,45,33","1,61,01","2,39,71","2,34,01"
2235,SOCIAL SECURITY AND WELFARE,,,,"1,65,60"
4059,CAPITAL OUTLAY ON PUBLIC WORKS,,,"1,28,43",
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"1,10,00",1,"79,38","50,00"
