51,01,Commissionerate of Revenue Administration Charged,2,,,2
51,01,Commissionerate of Revenue Administration Voted,"13,70,16,36",,,"13,70,16,36"
51,,Total Charged,2,,,2
51,,Total Voted,"13,70,16,36",,,"13,70,16,36"
