1,1,State Legislature Charged,"57,74",,,"57,74"
1,1,State Legislature Voted,"66,42,23",,"50,00","66,92,23"
1,,Total Charged,"57,74",,,"57,74"
1,,Total Voted,"66,42,23",,"50,00","66,92,23"
