2216,HOUSING,"21,92,61,37","26,91,90,52","30,63,49,12","39,41,79,04"
2217,URBAN DEVELOPMENT,"4,95,10,50","6,14,36,44","1,22,99,87","7,03,86,13"
2251,SECRETARIAT - SOCIAL SERVICES,"9,07,92","9,12,80","9,20,81","10,08,80"
4216,CAPITAL OUTLAY ON HOUSING,"2,02,50",14,13,"2,05,20,03"
4217,CAPITAL OUTLAY ON URBAN DEVELOPMENT,"4,13,75,00","8,59,12,00","4,91,00,00","1,59,00,00"
6216,LOANS FOR HOUSING,,2,2,"9,00,01"
6217,LOANS FOR URBAN DEVELOPMENT,"6,00,00,00","19,31,00,00","2,50,00,00","30,00,00,01"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"1,17,49,88","1,60,00,01","1,50,15,31","1,60,25,00"
0,1,2,3,4,5
,Ïð£Œ ÝJóˆF™,,Rupees in Thousands,,
,Revenue,Capital,Loan,Total,
ñ£Qò‚ «è£K‚¬è ÜÂñFˆî¶,"46,55,73,99",,"3,64,20,03  31,69,25,02","81,89,19,04",
DEMAND FOR GRANT-Voted,,,,,
,2,...,...,,2
,,,Gèó„ ªêô¾ Ïð£Œ ÝJóˆF™,,
,,,Net Expenditure Rupees in Thousands,,
,,2018-19,2019-20,2019-20,2020-21
,,,õó¾,,õó¾
,,èí‚°èœ,ªêô¾ˆ,F¼ˆî,ªêô¾ˆ
,,,F†ì,ñFŠd´,F†ì
,,,ñFŠd´,,ñFŠd´
,,Accounts,Budget,Revised,Budget
,,,Estimate,Estimate,Estimate
HOUSING,,"21,92,61,37","26,91,90,52","30,63,49,12","39,41,79,04"
URBAN DEVELOPMENT,,"4,95,10,50","6,14,36,44","1,22,99,87","7,03,86,13"
SECRETARIAT - SOCIAL,,"9,07,92","9,12,80","9,20,81","10,08,80"
SERVICES,,,,,
CAPITAL OUTLAY ON HOUSING,,"2,02,50",14,13,"2,05,20,03"
CAPITAL OUTLAY ON URBAN,,"4,13,75,00","8,59,12,00","4,91,00,00","1,59,00,00"
DEVELOPMENT,,,,,
LOANS FOR HOUSING,,...,2,2,"9,00,01"
LOANS FOR URBAN,,"6,00,00,00","19,31,00,00","2,50,00,00","30,00,00,01"
DEVELOPMENT,,,,,
LOANS TO GOVERNMENT,,"1,17,49,88","1,60,00,01","1,50,15,31","1,60,25,00"
SERVANTS ETC.,,,,,
