37,01,Commissionerate of Prohibition and Excise Charged,2,,,2
37,01,Commissionerate of Prohibition and Excise Voted,"1,48,87,32",,,"1,48,87,32"
37,02,Advisory Board Constituted under Bootlegger Act 1982 Voted,"86,71",,,"86,71"
37,,Total Charged,2,,,2
37,,Total Voted,"1,49,74,03",,,"1,49,74,03"
