2052,SECRETARIAT - GENERAL SERVICES,"3,02,55","3,12,67","3,60,02","3,66,69"
2202,GENERAL EDUCATION,"1,41,64,53","13,62,27,18","13,62,27,18","9,49,30,14"
2235,SOCIAL SECURITY AND WELFARE,"- 60,85","3","3","22,89,00"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"12,50","1","1","25,00"
