2058,STATIONERY AND PRINTING,"1,75,35,91","1,30,44,82","1,50,73,54","1,52,96,85"
2059,PUBLIC WORKS,"59,10","60,00","60,00","60,00"
4058,CAPITAL OUTLAY ON STATIONERY AND PRINTING,"1,11,81",4,"2,89,51","70,67"
