2052,SECRETARIAT - GENERAL SERVICES,"11,37,51","13,06,32","17,21,97","18,32,54"
2059,PUBLIC WORKS,"2,23,74","50,01","50,01","52,51"
2202,GENERAL EDUCATION,"33,60,86","17,28,77","38,91,55","45,60,94"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"17,00",1,1,"25,00"
