2045,OTHER TAXES AND DUTIES ON COMMODITIES AND SERVICES,"12,14,88","15,23,95","12,51,54","16,73,92"
2052,SECRETARIAT - GENERAL SERVICES,"3,59,04","4,03,43","4,19,79","5,23,13"
2059,PUBLIC WORKS,"2,77","2,80","2,80","3,00"
2801,POWER,"76,62,70,22","91,96,44,90",,"87,28,43,85   1,23,85,41,03"
2810,NEW AND RENEWABLE ENERGY,,1,"1,00,01",1
3425,OTHER SCIENTIFIC RESEARCH,"-1,22,87","2,10,07","2,10,06","2,10,06"
4801,CAPITAL OUTLAY ON POWER PROJECTS,"1,94,57,65","5,63,71,25","7,63,59,83","5,30,30,54"
5465,INVESTMENTS IN GENERAL FINANCIAL AND TRADING INSTITUTIONS,"12,00,00,00",,"16,40,00,00",1
6505,LOANS FOR RURAL EMPLOYMENT,,1,1,1
6801,LOANS FOR POWER PROJECTS,"4,74,76,83","6,60,95,79","14,48,86,58","18,59,10,04"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"25,00",1,1,"10,00"
