2059,PUBLIC WORKS,"8,36","8,50","13,30","8,50"
2075,MISCELLANEOUS GENERAL SERVICES,"6,12,93","8,15,62","7,54,02","7,54,02"
2202,GENERAL EDUCATION,"53,37,59","37,44,86","64,86,20","55,93,79"
2251,SECRETARIAT - SOCIAL SERVICES,"8,44,59","9,06,66","9,36,98","10,26,69"
7610,LOANS TO GOVERNMENT SERVANTS ETC.,"26,00",1,"19,50","25,00"
