49,01,Secretariat Voted,"2,25,06",,"25,00","2,50,06"
49,02,Sports Development Authority of Tamilnadu Voted,"1,53,64,73",,,"1,53,64,73"
49,03,Directorate of National Cadet Corps Voted,"55,74,19","1,50,00",,"57,24,19"
49,04,Tamil Nadu Physical Education and Sports University Voted,"5,26,81",,,"5,26,81"
49,,Total,"2,16,90,79","1,50,00","25,00","2,18,65,79" 
