#Vacant - Tiruvottiyur K.P.P. Samy 27.2.2020|Gudiyatham (SC) S. Kathavarayan 28.2.2020|Chepauk-Thiruvallikeni J. Anbazhagan on 10.6.2020
'Const. No.',Gender,'Constituencies Name','Member Name','Party',Minister
1,Gummidipoondi,M,K.S. Vijaya Kumar,AIADMK
2,Ponneri (SC),M,P. Balaraman,AIADMK
3,Tiruttani,M,P.M. Narasimhan,AIADMK
4,Thiruvallur,M,V.G. Raajendran,DMK
5,Poonamallee (SC),M,A.Krishnaswamy,DMK
6,Avadi,M,K. Pandiarajan,AIADMK,Minister Tamil Official Language and Tamil Culture and Archaeology
7,Maduravoyal,M,P. Benjamin,AIADMK,Minister Rural Industries
8,Ambattur,M,V. Alexander,AIADMK
9,Madavaram,M,S. Sudharsanam,DMK
10,Tiruvottiyur,,Vacant,
11,Dr. Radhakrishnan Nagar,M,TTV Dhinakaran,Independent
12,Perambur,M,R.D.Shekar,DMK
13,Kolathur,M,M.K. Stalin,DMK,Leader of the Opposition
14,Villivakkam,M,B. Ranganathan,DMK
15,Thiru-Vi-Ka-Nagar (SC),M,P. Sivakumar @ Thayagam Kavi,DMK
16,Egmore (SC),M,K.S. Ravichandran,DMK
17,Royapuram,M,D. Jayakumar,AIADMK,"Minister Fisheries and Personnel and Administrative Reforms"
18,Harbour,M,P.K. Sekar Babu,DMK
19,Chepauk-Thiruvallikeni,,Vacant,
20,Thousand Lights,M,Ku. Ka. Selvam,DMK
21,Anna Nagar,M,M.K. Mohan,DMK
22,Virugambakkam,M,Virugai V.N. Ravi,AIADMK
23,Saidapet,M,Ma. Subramanian,DMK
24,Thiyagaraya Nagar,M,B. Sathyanarayanan,AIADMK
25,Mylapore,M,R. Nataraj,AIADMK
26,Velachery,M,Vagai Chanderasekar,DMK
27,Sholinganallur,M,S. Aravind Ramesh,DMK
28,Alandur,M,T.M. Anbarasan,DMK
29,Sriperumbudur (SC),M,K. Palani,AIADMK
30,Pallavaram,M,I. Karunanithi,DMK
31,Tambaram,M,S.R. Raja,DMK
32,Chengalpattu,F,M. Varalakshmi,DMK
33,Thiruporur,M,L. Idhayavarman,DMK
34,Cheyyur (SC),Dr. R.T. Arasu,DMK
35,Madurantakam (SC),M,S. Pugazhenthi,DMK
36,Uthiramerur,M,K. Sundar,DMK
37,Kancheepuram,M,C.V.M.P. Ezhilarasan,DMK
38,Arakkonam (SC),M,S. Ravi,AIADMK
39,Sholinghur,M,G.Sampathu,AIADMK
40,Katpadi,M,Durai Murugan,DMK
41,Ranipet,M,R. Gandhi,DMK
42,Arcot,M,J.L. Eswarappan,DMK
43,Vellore,M,P. Karthikeyan,DMK
44,Anaikattu,M,A.P. Nandakumar,DMK
45,Kilvaithinankuppam (SC),M,G. Loganathan,AIADMK
46,Gudiyatham (SC),,Vacant,
47,Vaniyambadi,F,Dr. (Tmt) Nilofer Kafeel,AIADMK,Minister Labour
48,Ambur,M,A.C.Vilwanathan,DMK
49,Jolarpet,M,K.C. Veeramani,AIADMK,Minister Commercial Taxes
50,Tirupattur,M,A. Nallathambi,DMK
51,Uthangarai (SC),F,N. Manoranjitham,AIADMK
52,Bargur,M,C.V. Rajendiran,AIADMK
53,Krishnagiri,M,T. Senguttuvan,DMK
54,Veppanahalli,M,P. Murugan,DMK
55,Hosur,M,S.A.Sathya,DMK
56,Thalli,M,Y. Prakaash,DMK
57,Palacode,M,K.P Anbalagan,AIADMK,"Minister Higher Education including Technical Education, Electronics, Science and Technology"
58,Pennagaram,M,P.N.P. Inbasekaran,DMK
59,Dharmapuri,M,P. Subramani,DMK
60,Pappireddipatti,M,A.Govindasamy,AIADMK
61,Harur (SC),M,V.Sampathkumar,AIADMK
62,Chengam (SC),M,M.P. Giri,DMK
63,Tiruvannamalai,M,E.V. Velu,DMK
64,Kilpennathur,M,K. Pitchandi,DMK
65,Kalasapakkam,M,V. Panneerselvam,AIADMK
66,Polur,M,K.V. Sekaran,DMK
67,Arni,M,S. Sevoor Ramachandran,AIADMK,Minister Hindu Religious and Charitable Endowments
68,Cheyyar,M,Dusi K. Mohan,AIADMK
69,Vandavasi (SC),M,S. Ambeth Kumar,DMK
70,Gingee,M,K.S. Masthan,DMK
71,Mailam,M,Dr. R. Masilamani,DMK
72,Tindivanam (SC),F,P. Seethapathy,DMK
73,Vanur (SC),M,M. Chakrapani,AIADMK
74,Villuppuram,M,C.Ve. Shanmugam,AIADMK,"Minister Law, Courts and Prisons, Mines and Minerals"
75,Vikkiravandi,M,R. Muthamilselvan,AIADMK
76,Tirukoilur,Dr K. Ponmudy,DMK
77,Ulundurpet,M,R. Kumaraguru,AIADMK
78,Rishivandiyam,M,K. Karthikeiyan,DMK
79,Sankarapuram,M,T. Udhaya Suriyan,DMK
80,Kallakurichi (SC),M,A. Prabhu,AIADMK
81,Gangavalli (SC),M,A. Maruthamuthu,AIADMK
82,Attur (SC),M,R.M. Chinnathambi,AIADMK
83,Yercaud (ST),F,G. Chitra,AIADMK
84,Omalur,M,S. Vetrivel,AIADMK
85,Mettur,M,S. Semmalai,AIADMK
86,Edappadi,M,Edappadi K. Palaniswami,AIADMK,Chief Minister
87,Sankari,M,S. Raja,AIADMK
88,Salem (West),M,G. Venkatachalam,AIADMK
89,Salem (North),M,R. Rajendran,DMK
90,Salem (South),M,A.B. Sakthivel,AIADMK
91,Veerapandi,F,P. Manonmani,AIADMK
92,Rasipuram (SC),F,Dr. V. Saroja,AIADMK,Minister Social Welfare
93,Senthamangalam (ST),M,C. Chandrasekaran,AIADMK
94,Namakkal,M,K.P.P. Baskar,AIADMK
95,Paramathi Velur,M,K.S. Moorthiy,DMK
96,Tiruchengodu,F,Pon. Saraswathi,AIADMK
97,Kumarapalayam,M,P. Thangamani ,AIADMK,"Minister Electricity, Prohibition and Excise"
98,Erode (East),M,K.S. Thennarasu,AIADMK
