#C. Arun Pandian, R. Santhi , R. Sundarrajan,T. Sureshkukar , K. Tamil Azhagan , K. Pandiarajan , S. Michael Rayappan , Kalai Arasu ,A. Ramasamy resigned on 21st February 2016
Const. No.,Constituency Name,District,Member Name,Party,Notes,Minister
76,Tirukoilur,Villupuram,L. Venkatesan,DMDK
77,Ulundurpet,Villupuram,R. Kumaraguru,AIADMK
78,Rishivanthiyam,Villupuram,Vijayakant,DMDK
79,Sankarapuram,Villupuram,P. Mohan,AIADMK,,"Minister Micro, Small and Medium Enterprises Department"
80,Kallakurichi (SC),Villupuram,K. Alaguvelu,AIADMK
81,Gangavalli (AC),Salem District,R. Subha,DMDK
82,Attur,Salem,S. Madheswaran,AIADMK
83,Yercaud (ST),Salem,P. Saroja,AIADMK,Bye-election due to demise of C. Perumal (on 18.7.2013)
84,Omalur,Salem,C. Krishnan,AIADMK
85,Mettur,Salem,S.R. Parthiban,DMDK
86,Edappadi,Salem,Edappadi K. Palaniswami,AIADMK,,Minister Highways And Minor Ports
87,Sankagiri,Salem,P. Vijayalakshmi Palanisamy,AIADMK
88,Salem (West),Salem,G. Venkatachalam,AIADMK,,Minister of Revenue
89,Salem (North),Salem,Alagaapuram R. Mohan Raj,DMDK
90,Salem (South),Salem,M.K. Selvaraju,AIADMK
91,Veerapandi,Salem,S.K. Selvam,AIADMK
92,Rasipuram (SC),Namakkal,P. Dhanapal,AIADMK
93,Senthamangalam (ST),Namakkal,Vacant,
94,Namakkal,Namakkal,K.P.P. Baskar,AIADMK
95,Paramathi Velur,Namakkal,U. Thaniyarasu,AIADMK
96,Tiruchengodu,Namakkal,P. Sampathkumar,DMDK
97,Kumarapalayam,Namakkal,P. Thangamani,AIADMK,,Minister Industries
98,Erode (East),Erode,V.C. Chandhirakumar,DMDK
99,Erode (West),Erode,K.V. Ramalingam,AIADMK,,Minister Public Works
100,Modakkurichi,Erode,R.N. Kittusamy,AIADMK
101,Dharapuram (SC),Tiruppur,K. Ponnusamy,AIADMK
102,Kangeyam,Tiruppur,NSN. Nataraj,AIADMK
103,Perunduraii,Erode,N.D. Venkatachalam,AIADMK
104,Bhavani,Erode,P.G. Narayanan,AIADMK
105,Anthiyur,Erode,S.S. Ramanitharan,AIADMK
106,Gobichettipalayam,Erode,K.A. Sengottaiyan,AIADMK
107,Bhavanisagar (SC),Erode,P.L. Sundaram,CPI
108,Udhagamandalam,The Nilgiris,Budhichandiran,AIADMK
109,Gudalur (SC),The Nilgiris,M. Thiravidamani,DMK
110,Coonoor,The Nilgiris,K. Ramachandran,DMK
111,Mettupalayam,Coimbatore,O.K. Chinnaraj,AIADMK
112,Avanishi (SC),Tiruppur,A.A. Karuppasamy,AIADMK
113,Tiruppur (North),Tiruppur,M.S.M. Anandan,AIADMK,,Minister Forests
114,Tiruppur (South),Tiruppur,K. Thangavel,CPI(M)
115,Palladam,Tiruppur,K.P. Paramasivam,AIADMK
116,Sulur,Coimbatore,K. Thinakaran,DMDK
117,Kavundampalayam,Coimbatore,V.C. Arukutty,AIADMK
118,Coimbatore (North),Coimbatore,T. Malaravan,AIADMK
119,Thondamuthur,Coimbatore,S.P. Velumani,AIADMK
120,Coimbatore (South),Coimbatore,R. Doraisamy (a) Challenger Dorai,AIADMK
121,Singanallur,Coimbatore,R. Chinnasamy,AIADMK
122,Kinathukadavu,Coimbatore,S. Damodaran,AIADMK,,Minister Agriculture
123,Pollachi,Coimbatore,Muthukaruppannasamy,AIADMK
124,Valparai (SC),Coimbatore,M. Arumugham,CPI
125,Udumalaipetai,Tiruppur,Pollachi V. Jayaraman,AIADMK
126,Madathukulam,Tiruppur,C. Shanmugavelu,AIADMK
127,Palani,Dindigul,K.S.N. Venugopalu,AIADMK
128,Oddanchatram,Dindigul,R. Sakkarapani,DMK
129,Athoor,Dindigul,I. Periyasamy,DMK
130,Nilakottai (SC),Dindigul,Vacant,
131,Natham,Dindigul,R. Viswanathan,AIADMK,,"Minister Energy,Prohibition and Excise"
132,Dindigul,Dindigul,K. Balabharathy,CPI(M)
133,Vedasandur,Dindigul,S. Palanichamy,AIADMK
134,Aravakurichi,Karur,K.C. Pallani Shamy,DMK
135,Karur,Karur,V. Senthil Balaji,AIADMK,,Minister Transport
136,Krishnarayapuram(SC),Karur,S. Kamaraj,AIADMK
137,Kulithalai,Karur,A. Pappasundaram,AIADMK
138,Manapparai,Tiruchirappalli,R. Chandrasekar,AIADMK
139,Srirangam,Tiruchirappalli,S.Valarmathi,AIADMK,,Minister Social Welfare 
140,Tiruchirappalli (West),Tiruchirappalli,M. Paranjothi,AIADMK,Bye-election on demise N. Mariampitchai
141,Tiruchirappalli (East),Tiruchirappalli,R. Manoharan,AIADMK
142,Thiruverumbur,Tiruchirappalli,S. Senthilkumar,DMDK
143,Lalgudi,Tiruchirappalli,A. Soundarapandian,DMK
144,Manachanallur,Tiruchirappalli,T.P. Poonatchi,AIADMK,,Minister Khadi and Village Industries
145,Musiri,Tiruchirappalli,N.R. Sivapathy,AIADMK
146,Thuraiyur (SC),Tiruchirappalli,T Indragandhi,AIADMK
147,Perambalur (SC),Perambalur,R. Thamizhselvan,AIADMK
148,Kunnam,Perambalur,S.S. Sivasankar,DMK
149,Ariyalur,Ariyalur,Durai. Manivel,AIADMK
150,Jayankondam,Ariyalur,J. Guru (a) Gurunathan,PMK
151,Tittagudi (SC),Cuddalore,Vacant,
152,Vridhachalam,Cuddalore,V. Muthukumar,DMDK
153,Neyveli,Cuddalore,M.P.S. Sivasubramaniyan,AIADMK
154,Panruti,Cuddalore,P. Sivakolundu,DMDK
155,Cuddalore,Cuddalore,M.C. Sampath,AIADMK,,Minister Environment
156,Kurinjipadi,Cuddalore,R. Rajendran,AIADMK
157,Bhuvanagiri,Cuddalore,Selvi Ramajayam,AIADMK
158,Chidambaram,Cuddalore,K. Balakrishnan,CPI(M)
159,Kattumanarkoil (SC),Cuddalore,N. Murugumaran,AIADMK
160,Sirkali (SC),Nagapatinam,M. Sakthi,AIADMK
161,Mayiladuthurai,Nagapattinam,R. Arulselvan,DMDK
162,Poompuhar,Nagapattinam,S. Pavunraj,AIADMK
163,Nagapattinam,Nagapattinam,K.A. Jayapal,AIADMK,,Minister Fisheries
164,Kilvelur (SC),Nagapattinam,P. Mahalingam (a) V.P. Nagaimaali,CPI(M)
165,Vedaranyam,Nagapattinam,N.V. Kamaraj,AIADMK
166,Thiruthuraipoondi (SC),Tiruvarur,K. Ulaganathan,CPI
167,Mannargudi,Tiruvarur,T.R.B. Rajaa,DMK
168,Tiruvarur,Tiruvarur,M. Karunanithi,DMK
169,Nannilam,Tiruvarur,R. Kamaraj,AIADMK,,Minister Civil Supplies
170,Thiruvidaimarudur (SC),Thanjavur,Govi. Chezhiaan,DMK
171,Kumbakonam,Thanjavur,G. Anbalagan,DMK
172,Papanasam,Thanjavur,R. Doraikkannu,AIADMK
173,Thiruvaiyaru,Thanjavur,M. Rethinasamy,AIADMK
174,Thanjavur,Thanjavur,M. Rengasamy,AIADMK
175,Orathanadu,Thanjavur,R. Vaithilingam,AIADMK,,Minister Housing and Urban Development
