Field,Award,Name,Year
Civil Service,PS,Shri Palanindy Kandaswamy,1971
Litt. & Edu.,PS,Shri S.G. Mahalingayyar Subramaniam,1971
Litt. & Edu.,PS,Shri Kothamanglam Subbu,1971
Art,PS,Shri K. Natesa Dhandayuthapani Pillai,1971
Public Affairs,PS,Shri Ramanatha Iyer Mathrubbotham,1971
Science & Eng.,PB,Dr. M.S. Swaminathan,1972
Civil Service,PB,Vice Adm. Nilkanta Krishnan,1972
Art,PB,Shri Papanasam Sivan,1972
Civil Service,PS,Shri P Ramanathan Rajgopal,1972
Art,PS,Shri Lalgudi Gopalaiyer Jayaraman,1972
Medicine,PS,Prof. Balasubramaniam Ramamurthi,1972
Art,PS,Shri Madras Kandaswamy Radha,1972
Litt. & Edu.,PS,Shri Mylai Ponnuswamy Sivagnanam,1972
Trade & Ind.,PS,Shri Mohan Mull Chordia,1972
Medicine,PS,Dr. (Miss) Mary Puthusseril Varghese,1972
Art,PS,Shri Vazhuvoor B. Ramiah Pillai,1972
Medicine,PS,Dr. Thayil John Cherian,1972
Trade & Ind.,PB,Dr. Raja M. Annamalai Muthiah Chettiar,1973
Science & Eng.,PB,Dr. Raja Ramanna,1973
Medicine,PS,Dr. Madampath Kalathil Krishna Menon,1973
Art,PS,Shri Chellasami Sirchabai Murugabhupathy,1973
Medicine,PS,Dr. Govindappa Venkataswamy,1973
Social Work,PS,Smt. Sarojini Varadappan,1973
Art,PS,Shri Tripunittura Narayanan Krishnan,1973
Civil Service,PS,Late Shri R.V. Ramaswamy,1973
Science & Eng.,PS,Dr. N. Kesava Panikkar,1973
Art,PS,Shri B.S. alias Balu Bhagvathar Sastrigal,1973
Civil Service,PS,Shri Venkataraman Krishnamurthy,1973
Science & Eng.,PB,Prof. Toppur Seethapathy Sadasivan,1974
Medicine,PB,Dr. Raman Viswanathan,1974
Medicine,PS,Dr. Kadiyala Ramachandra,1974
Public Affairs,PS,Smt. Jothi Vencatachellum,1974
Medicine,PS,Dr. Venkatarama Narayanaswami,1974
Art,PS,Shri Thiruvizhimazhalai Subramania Pillai,1974
Civil Service,PB,Dr. Pancheti Koteswaram,1975
Art,PS,Shri Madras Sundaram Iyer Gopalakrishnan,1975
Science & Eng.,PS,Dr. Rajagopala Chidambaram,1975
Science & Eng.,PS,Dr. Sekharipuram Narayana Aiyer Seshadri,1975
Civil Service,PB,Dr. Malcolm Sathianathan Adiseshiah,1976
Medicine,PB,Dr. Krishnaswami Srinivasa Sanjivi,1976
Art,PS,Shri Madurai S. Somasundaram,1976
Litt. & Edu.,PS,Dr. Manickam Narayanan,1976
Art,PS,Shri Palghat Kollengode Viswanath Narayanaswamy,1976
Civil Service,PS,Shri Govinda Pillai Unnikrishna Menon,1976
Litt. & Edu.,PB,Dr. Thenpattinam Ponnusamy Meenakshi Sundaran,1977
Medicine,PB,Prof. Balasubramanian Ramamurthi,1977
Art,PS,Sheik Chinna Moulana,1977
Science & Eng.,PB,Dr. Manali K. Vainu Bappu,1981
Art,PS,Shri Namagiripettai K. Krishnan,1981
Sports,PS,Shri Vasudevan Baskaran,1981
Medicine,PS,Dr. K.Varadachari Thiruvengadam,1981
Art,PS,Dr.(Kum.) Padma Subrahmanyam,1981
Social Work,PS,Dr.(Kum.) Claire Marie Jeanne Vellut,1981
Art,PB,Shri S. Balachander,1982
Medicine,PB,Dr. Arni S. Ramakrishnan,1982
Civil Service,PS,Shri E.Srinivasan Parthasarathy,1982
Social Work,PS,Shri Madhav Kashinath Dalvi,1982
Medicine,PS,Dr. Sengamedu Srinivasa Badrinath,1983
Art,PS,Isai Mani (Shri) Seerkhazhi S. Govindarajan,1983
Civil Service,PS,Br. K.V. S.J Peter,1983
Litt. & Edu.,PS,Miss Ahalya Chari,1983
Sports,PS,Shri Vijay Prakash Amritraj,1983
Art,PS,Shri Prabhu Handel Manuel,1983
Social Work,PS,Shri M.P. Nachimuthu,1983
Art,PB,Shri Villupuram Chinniah (Shivaji) Ganesan,1984
Social Work,PS,Shri Prem Nath Dhawan,1984
Medicine,PS,Dr. Hariharan Srinivasan,1984
Social Work,PB,Shri Gopala Ramanujam,1985
Art,PB,Smt. Kalanidhi Narayanan,1985
Art,PS,Shri Palghat R. Raghu,1985
Science & Eng.,PB,Shri C. Venkataraman Sundaram,1986
Medicine,PS,Dr. Viswanathan Shanta,1986
Art,PS,Dr. Natesan Ramani,1987
Social Work,PS,Smt. Jaya Arunachalam,1987
Art,PS,Shri Kailasam Balachander,1987
Art,PS,Smt. Sudharani Raghupathy,1988
Sports,PS,Shri Viswanathan Anand,1988
Art,PS,Shri U. K. Sivaraman,1988
Science & Eng.,PS,Shri Ramanatha Venkata Ramani,1988
Social Work,PS,Shri Vedaratnam Appakutti,1989
Art,PS,Dr. L. Subramaniam,1989
Art,PS,Shri Adyar K. Lakshman,1989
Social Work,PS,Smt. Krishnammal Jagannathan,1989
Litt. & Edu.,PB,Shri Narasimhan Ram,1990
Litt. & Edu.,PB,Dr. Sattaiyappa Dhandapani Desikar,1990
Litt. & Edu.,PS,Dr. Muthukumaraswamy Aram,1990
Art,PS,Shri Madurai Ponnusamy Sethuraman Natesan,1990
Art,PS,Shri Maharajapuram Viswanatha Santhanam,1990
Art,PS,Shri Kamal Haasan,1990
Medicine,PS,Dr. Pylore Krishnaier Rajagopalan,1990
Art,PS,Shri Allu Ramalingaiah,1990
Medicine,PS,Dr. Shanmugam Kameswaran,1990
Litt. & Edu.,PB,Shri Kuthur Ramakrishnan Srinivasan,1991
Medicine,PB,Dr. Muthu Krishna Mani,1991
Medicine,PB,Dr. Prathap Chandra Reddy,1991
Trade & Ind.,PS,Shri Padamanur Ananda Rau,1991
Social Work,PS,Shri Venkatesan Padmanabhan,1991
Art,PS,Kum. Alarmel Valli,1991
Medicine,PS,Dr. Kotturathu Mammen Cherian,1991
Art,PB,Prof. Trippunithura Narayan Krishnan,1992
Art,PB,Shri Kongara Jaggaiah,1992
Medicine,PB,Dr. Thayil John Cherian,1992
Science & Eng.,PB,Prof. Ranjan Roy Daniel,1992
Social Work,PB,Dr.(Smt.) Mamballaikalathil Sarada Menon,1992
Art,PS,Shri Muthu Muthiah Sthapathi,1992
Art,PS,Smt. Chitra Visweswaran,1992
Medicine,PS,Prof. Gopalasamudram Sitaraman Venkataraman,1992
Art,PS,Shri Madurai Narayanan Krishnan,1992
Social Work,PS,Smt. Shantha Ranganathan,1992
Trade & Ind.,PS,Shri Kandathil Mammen Mammen Mappillai,1992
Art,PS,Shri Kasinadhuni Vishwanath,1992
Medicine,PS,Dr. Pakkiam Vaikundam Arulanandam Mohandas,1992
Litt. & Edu.,PS,Dr. (Smt.) Rajammal Packiyanathan Devadas,1992
Art,PB,Dr. Vempati Chinna Satyam,1998
Medicine,PB,Dr. Maligail Ram krishna Girinath,1998
Art,PS,Shri P.I. Mohammed Kutty (Mammootty),1998
Sports,PS,Smt. Shiny Wilson,1998
Sports,PS,Shri Ramesh Krishnan,1998
Art,PS,Shri Uppalapu Shrinivas,1998
Social Work,PB,Dr. Jacob Cherian,1999
Medicine,PB,Dr. Sengamedu Srinivasa Badrinath,1999
Medicine,PS,Dr. Kurudamannil A. Abraham,1999
Art,PB,Shri Rajini Kanth,2000
Medicine,PS,Dr. Mathew Samuel Kalarickal,2000
Medicine,PS,Dr. Immaneni Sathyamurthy,2000
Art,PS,Shri Allah Rakka Rahman,2000
Art,PB,Shri Lalgudi Gopalaiyer Jayaraman,2001
Art,PB,Dr.(Smt.) Paluvai Bhanumathi Ramakrishna,2001
Sports,PB,Shri Viswanathan Anand,2001
Art,PS,Shri Viswanathan Mohanlal,2001
Art,PS,Dr. Avadhanam Sita Raman,2001
Art,PS,Shri Thota Tharani,2001
Science & Eng.,PS,Dr. Thirumalachari Ramasami,2001
Art,PS,Shri Sripathi Panditharadhyula Balasubrahmanyam,2001
Medicine,PB,Prof. Natesan Rangabashyam,2002
Art,PB,Shri Kattassery Joseph Yesudas,2002
Science & Eng.,PB,Prof. Vangalampalayam Chellappagounder Kulandaiswamy,2002
Science & Eng.,PS,Dr. Ashok Jhunjhunwala,2002
Art,PS,Smt. Manorama,2002
Art,PS,Smt. Mani Krishnaswami,2002
Litt. & Edu.,PS,Dr. Munirathna Anandakrishnan,2002
Social Work,PS,Dr. Sivananda Rajaram,2002
Art,PS,Shri Thettagudi Hariharasarma Vinayakram,2002
Medicine,PS,Dr. Karimpat Mathangi Ramakrishnan,2002
Art,PS,Shri Mani Ratnam,2002
Art,PB,Shri Umayalpuram Kasiviswanatha Sivaraman,2003
Science & Eng.,PB,Shri Narayanan Srinivasan,2003
Art,PB,Shri Trichur Vaidyanatha Ramachandran,2003
Art,PB,Shri Puliyur Subramaniam Narayanaswamy,2003
Art,PB,Dr.(Kum.) Padma Subrahmanyam,2003
Art,PB,Shri Tiruvalangadu Vembu Iyer Sankaranarayanan,2003
Art,PB,Shri Madurai Narayanan Krishnan,2003
Art,PB,Shri Balasubramania Rajam Iyer,2003
Litt. & Edu.,PS,Shri Ramasamy Vairamuthu,2003
Sports,PS,Shri Srinivas Venkataraghavan,2003
Trade & Ind.,PS,Shri Nalli Kuppuswami Chettiar,2003
Art,PS,Shri Thoguluva Meenakshi Iyengar Sounderarajan,2003
Art,PS,Smt. Sukumari Sathyabhama,2003
Art,PS,Ms. Malavika Sarukkai,2003
Litt. & Edu.,PB,Dr. Krishna Srinivas,2004
Art,PB,Shri Madurai Thirumalai Nambi Seshagopalan,2004
Civil Service,PB,Shri Thoppil Varghese Antony,2004
Art,PB,Smt. Alarmel Valli,2004
Art,PS,Smt. Sikkil Natesan Neela,2004
Art,PS,Smt. Sikkil Venkatraman Kunjumani,2004
Art,PS,Shri Bharathi Rajaa,2004
