01,Thiruvottiyur
02,Manali
03,Madhavaram
04,Tondiarpet
05,Royapuram
06,Thiru-Vi-Ka Nagar
07,Ambattur
08,Anna Nagar
09,Teynampet
10,Kodambakkam
11,Valasaravakkam
12,Alandur
13,Adyar
14,Perungudi
15,Sholinganallur
