#0055, "POLICE"
"Police supplied to Other Governments","68,82,34"
"Police Supplied to Other Parties","49,65,50"
"Fees, Fines and Forfeitures","80,00,87"
"Receipts under Arms Act","2,28,72"
"Receipts of State Headquarters Police","39,39,58"
"Other Receipts","34,83,97"
