#0853, "NON-FERROUS MINING AND METALLURGICAL INDUSTRIES"
"Mineral Concession Fees, Rents and Royalties","1,002,55,14"
"Mines Department","1,53,24"
"Service and Service Fees","2,93"
"Other Receipts","289,83,24"
"Deduct-Refunds","- 236,49,30"
