#0043, "TAXES AND DUTIES ON ELECTRICITY"
"Taxes on Consumption and Sale of Electricity","600,78,88"
"Fees under the Indian Electricity Rules","11,54,71"
"Fees for the Electrical Inspection of Cinema Theatres","4,02"
"Other Receipts","8,59,22"
