1273.46,1273.46,3127.19,3127.19,158.82,158.82,204.07,204.07,5910.54,5910.54,6154.88,6154.88,3533.38,3533.38,3374.79,3374.79,1537.52,1537.52,2673.36,2673.36,72.73,72.73,188.7,188.7,10.11,10.11,50.7,50.7
4491.67,5765.13,2981.36,6108.55,3581.83,3740.65,3017.68,3221.75,5337.67,11248.21,4603.47,10758.35,2276.64,5810.02,2457.14,5831.93,2509.74,4047.26,1591.44,4264.8,971.21,1043.94,647.52,836.22,5.69,15.8,918.09,968.79
5141.29,10906.42,5796.0,11904.55,2683.96,6424.61,2187.36,5409.11,3915.31,15163.52,3785.56,14543.91,2828.69,8638.71,2873.47,8705.4,210.69,4257.95,2153.34,6418.14,1920.61,2964.55,1059.73,1895.95,24.2,40.0,179.62,1148.41
3075.76,13982.18,5575.35,17479.9,2066.35,8490.96,2008.53,7417.64,4557.84,19721.36,3683.12,18227.03,2639.26,11277.97,2685.28,11390.68,855.25,5113.2,1605.67,8023.81,1303.83,4268.38,1179.95,3075.9,1523.23,1563.23,61.79,1210.2
4380.38,18362.56,3181.98,20661.88,2057.7,10548.66,2089.54,9507.18,4458.7,24180.06,3961.91,22188.94,2464.3,13742.27,2439.98,13830.66,3368.83,8482.03,1617.86,9641.67,3352.12,7620.5,1164.57,4240.47,1285.15,2848.38,282.98,1493.18
11131.42,29493.98,4675.4,25337.28,2276.48,12825.14,2227.01,11734.19,4091.34,28271.4,3785.9,25974.84,2357.51,16099.78,2348.79,16179.45,841.29,9323.32,675.35,10317.02,1590.93,9211.43,1555.49,5795.96,52.63,2901.01,191.25,1684.43
6993.78,36487.76,6540.43,31877.71,1990.82,14815.96,1807.68,13541.87,5072.63,33344.03,4447.72,30422.56,2544.37,18644.15,2389.13,18568.58,1998.74,11322.06,1773.28,12090.3,1729.93,10941.36,1273.11,7069.07,576.34,3477.35,618.52,2302.95
5639.14,42126.9,5541.66,37419.37,2040.01,16855.97,1979.94,15521.81,4438.83,37782.86,4085.85,34508.41,2248.94,20893.09,2153.72,20722.3,1258.7,12580.76,1812.24,13902.54,1508.56,12449.92,2004.07,9073.14,91.95,3569.3,407.74,2710.69
6324.34,48451.24,6983.64,44403.01,2307.65,19163.62,1885.32,17407.13,4633.54,42416.4,4095.81,38604.22,2156.26,23049.35,2140.39,22862.69,3652.86,16233.62,466.52,14369.06,1452.64,13902.56,1627.66,10700.8,-288.2,3281.1,124.96,2835.65
4204.86,52656.1,7625.11,52028.12,2519.53,21683.15,2336.4,19743.53,4112.8,46529.2,952.5,39556.72,1979.78,25029.13,1937.15,24799.84,227.75,16461.37,3076.37,17445.43,2268.98,16171.54,2008.92,12709.72,96.04,3377.14,192.91,3028.56
,2047.97,23731.12,2208.76,21952.29,,2160.98,27190.11,2036.62,26836.46,,1926.75,18098.29,2004.28,14714.0,87.91,3465.05,104.41,3132.97
,,,3788.05,25740.34,,,,561.86,27398.32,,,,9750.84,24464.84,,,883.58,4016.56
,,,3022.21,28762.55,,,,,
