1537.52,1537.52,2673.36,2673.36
2509.74,4047.26,1591.44,4264.8
210.69,4257.95,2153.34,6418.14
855.25,5113.2,1605.67,8023.81
3368.83,8482.03,1617.86,9641.67
841.29,9323.32,675.35,10317.02
1998.74,11322.06,1773.28,12090.3
1258.7,12580.76,1812.24,13902.54
3652.86,16233.62,466.52,14369.06
227.75,16461.37,3076.37,17445.43
72.73,72.73,188.7,188.7
971.21,1043.94,647.52,836.22
1920.61,2964.55,1059.73,1895.95
1303.83,4268.38,1179.95,3075.9
3352.12,7620.5,1164.57,4240.47
1590.93,9211.43,1555.49,5795.96
1729.93,10941.36,1273.11,7069.07
1508.56,12449.92,2004.07,9073.14
1452.64,13902.56,1627.66,10700.8
2268.98,16171.54,2008.92,12709.72
1926.75,18098.29,2004.28,14714.0
,,9750.84,24464.84
