3138.84,3138.84,3845.33,3845.33,1204.58,1204.58,908.0,908.0,2796.69,2796.69,2888.07,2888.07,1273.13,1273.13,1649.89,1649.89,49.87,49.87,77.42,77.42,259.69,259.69,111.3,111.3,115.53,115.53,170.44,170.44
2111.03,5249.87,3374.16,7219.49,1202.62,2407.2,1118.0,2026.0,3600.21,6396.9,2967.7,5855.77,2130.34,3403.47,1553.37,3203.25,338.43,388.3,132.66,210.08,822.32,1082.01,564.28,675.58,130.91,246.44,73.68,244.12
2935.51,8185.38,3244.15,10463.65,1109.41,3516.61,920.52,2946.52,2477.07,8873.97,2652.11,8507.87,1693.47,5096.94,1639.56,4842.81,93.06,481.36,190.69,400.77,853.97,1935.98,537.37,1212.95,107.26,353.7,101.19,345.31
3081.83,11267.31,3099.82,13563.47,1080.54,4597.15,1013.46,3959.98,2787.65,11661.62,2763.6,11271.47,1819.74,6916.68,2004.51,6847.32,108.15,589.51,183.89,584.66,814.02,2750.0,431.16,1644.11,135.35,489.05,24.19,369.5
3928.48,15195.69,2377.81,15941.28,2057.0,6654.15,1779.25,5739.23,2671.89,14333.51,4930.16,16201.63,1780.11,8696.79,2549.04,9396.36,80.31,669.82,102.68,687.34,556.95,3306.95,932.55,2576.66,119.52,608.57,323.23,692.73
3274.41,18470.1,3861.74,19803.02,1122.41,7776.56,1047.43,6786.66,3127.29,17460.8,561.63,16763.26,1636.86,10333.65,739.9,10136.26,89.81,759.63,149.4,836.74,836.79,4143.74,498.56,3075.22,77.36,685.93,92.84,785.57
2186.77,20656.87,2402.82,22205.84,1387.69,9164.25,1237.18,8023.84,2571.34,20032.14,2842.34,19605.6,1662.6,11996.25,2280.73,12417.0,28.67,788.3,191.08,1027.82,999.68,5143.42,222.38,3297.6,139.25,825.18,122.18,907.75
3530.31,24187.18,3321.84,25527.68,1305.11,10469.36,1141.17,9165.01,2565.26,22597.4,2937.19,22542.79,1564.88,13561.13,1597.1,14014.1,87.84,876.14,149.61,1177.43,737.35,5880.77,913.19,4210.79,107.88,933.06,266.96,1174.71
1189.88,25377.06,3872.01,29399.69,1111.19,11580.55,1812.31,10977.32,2552.97,25150.37,2505.12,25047.91,1449.26,15010.39,1371.58,15385.68,48.38,924.52,142.23,1319.66,795.42,6676.19,1023.97,5234.76,110.53,1043.59,286.01,1454.72
3097.27,28474.33,5381.6,34781.29,1220.1,12800.65,1143.67,12120.99,2618.88,27729.65,2441.92,27489.83,1385.7,16396.09,1269.31,16654.99,20.01,944.53,84.12,1403.78,423.58,7099.77,303.57,5538.34,111.66,1155.25,111.92,1566.64
3693.82,32168.15,1928.82,36710.11,2186.92,14987.57,1179.33,13300.32,1582.13,29311.78,2474.25,29964.08,1358.62,17754.71,1062.24,17717.23,84.83,1029.36,92.59,1496.37,339.54,7439.31,366.51,5904.85,17.73,1172.98,163.28,1729.92
558.25,32726.4,2952.84,39662.95,1188.0,16175.57,1241.17,14541.49,3618.97,32930.75,2546.87,32510.95,1309.57,19064.28,1294.68,19011.91,348.67,1378.03,155.26,1651.63,466.99,7906.3,1139.03,7043.88,118.49,1291.47,658.76,2388.68
