5.02,5.02,6.29,6.29
5.43,10.45,5.02,12.81
5.31,15.76,6.44,19.25
5.26,21.02,6.15,25.4
5.06,26.08,5.74,31.14
4.95,31.03,605.29,636.43
4.0,35.03,4.28,640.71
4.6,39.63,4.52,645.23
5.39,45.02,4.85,650.08
5.45,50.47,5.11,655.19
5.56,56.03,5.32,660.51
,,5.3,665.81
