Sl. no.,Economic activities,2015-16,2016-17,2017-18
1,GVA at Basic Price in Manufacturing,2146189,2335068,2542089
2,GVA at Basic Prices,12574499,13935917,15482715
3,"Percentage share of GVA in Manufacturing to 
Total GVA",17.07,16.76,16.42
"Source: National Accounts Division, NSO, MoSPI",,,,
